અને	23701
છે	23373
તે	13996
કે	8121
ગુજરાત	8032
એક	6875
હું	6710
ગામ	6261
પણ	6018
આ	5860
મુખ્ય	5733
આવેલા	5721
જે	5694
તેમ	5338
તમે	5316
ખેતી	5072
શ્રેણી	4646
કહ્યું	4369
નહિ	4255
જ	4229
તાલુકો	4221
માટે	4112
તેઓ	4072
ગામમાં	3942
તો	3942
તેને	3903
પર	3820
પછી	3748
કરવામાં	3667
નથી	3656
હતો	3651
આવે	3621
તેના	3609
શાળા	3556
પ્રાથમિક	3551
પશુપાલન	3407
ખેતમજૂરી	3343
વ્યવસાય	3312
આંગણવાડી	3309
હતી	3306
ભાગમાં	3293
પંચાયતઘર	3291
ડેરી	3257
સાથે	3248
દૂધની	3219
ભારત	3197
એ	3188
જિલ્લો	3171
લોકો	3153
તેણે	3107
યહોવા	3010
હતા	2949
દેવ	2931
છું	2928
કરી	2919
મને	2797
શાકભાજી	2734
તેની	2574
હતું	2569
મારા	2524
ત્યારે	2446
તમને	2413
તું	2347
આવેલું	2345
દ્વારા	2336
તેથી	2290
તરીકે	2272
બાજરી	2262
અન્ય	2203
પશ્ચિમ	2179
કરે	2174
સ્ટબ	2150
પાસે	2132
મેં	2104
દેશના	2073
ત્યાં	2037
ઇંડિયા	2000
ઈમેલ	2000
કપાળ	2000
છાતી	2000
છો	2000
થઈ	2000
ફોન	2000
બધા	2000
બાણું	2000
મુખ્યત્વે	2000
રજાઇ	2000
વાહન	2000
સાત	2000
સિખ	2000
સીતા	2000
ૐ	2000
હોય	1995
જેવી	1994
તથા	1967
કારણ	1957
જિલ્લા	1916
જો	1915
પરંતુ	1913
મારી	1912
કપાસ	1882
ગામના	1834
દિવેલી	1830
અખબાર	1800
અનપઢ	1800
અનુગ્રહ	1800
અપમાન	1800
અમદાવાદ	1800
અહંકાર	1800
આંખ	1800
આંગળી	1800
આકાશ	1800
આઝાદી	1800
આભાર	1800
આવીશ	1800
આવીશું	1800
આશીર્વાદ	1800
આષાઢ	1800
ઈન્ટરનેટ	1800
ઈમાનદાર	1800
ઉંધિયું	1800
ઉજ્જળ	1800
ઉઠવું	1800
ઉપર	1800
ઊંચી	1800
ઊંચું	1800
ઊંચો	1800
ઓક્ટોબર	1800
કડવું	1800
કમ્પ્યુટર	1800
કરીશ	1800
કરીશું	1800
કવિતા	1800
કાકા	1800
કાકી	1800
કામગિરી	1800
કારતક	1800
કારુણ્ય	1800
કારોબાર	1800
કાલે	1800
કાળો	1800
કૃપા	1800
કેમ	1800
કેમ છો	1800
ક્યાં	1800
ક્યારે	1800
ખમણ	1800
ખાટ્ટું	1800
ખાવું	1800
ખાવો	1800
ખિચડી	1800
ખુશી	1800
ખોલવું	1800
ગરમ	1800
ગરમી	1800
ગાંઠિયા	1800
ગાંધીનગર	1800
ગાડી	1800
ગુજરાતી	1800
ગુરુવાર	1800
ગુલાબી	1800
ઘટાડો	1800
ઘડિયાળ	1800
ઘરી	1800
ચંદ્ર	1800
ચાલવું	1800
ચાલો	1800
ચૈત્ર	1800
ચોરસ	1800
છત્ર	1800
છાત્ર	1800
છાશ	1800
જંગલ	1800
જઈશ	1800
જઈશું	1800
જનતા	1800
જન્મદિન મુબારક	1800
જય ગુજરાત	1800
જય હિંદ	1800
જલેબી	1800
જાન્યુઆરી	1800
જામનગર	1800
જુલાઈ	1800
જેઠ	1800
જોવું	1800
ઝૂઠ	1800
ઠંડી	1800
ઠંડું	1800
ઠંડો	1800
ડિસેમ્બર	1800
ઢાળી	1800
ઢાળું	1800
ઢાળો	1800
ઢોકળા	1800
તમં	1800
તારા	1800
તીખ	1800
તુઝ	1800
તુઝે	1800
ત્રિકોણ	1800
થેપલા	1800
દાંત	1800
દાદાજી	1800
દાદી	1800
દીકરી	1800
દીકરો	1800
દુકાન	1800
દુનિયા	1800
દેખાય	1800
દેખી	1800
દોડવું	1800
દોડો	1800
દોપહેર	1800
ધન્યવાદ	1800
ધરતી	1800
નમ્મક	1800
નવેમ્બર	1800
નાનાજી	1800
નાની	1800
નારંગી	1800
નાળી	1800
નિરાશા	1800
નીચે	1800
નીલો	1800
પંદર	1800
પક્ષી	1800
પઢવું	1800
પત્ની	1800
પર્વત	1800
પહાડ	1800
પહેલાં	1800
પાંચ	1800
પાછળ	1800
પાત્રા	1800
પિતાજી	1800
પીઠ	1800
પીળો	1800
પીવું	1800
પીવો	1800
પુરુષ	1800
પુસ્તક	1800
પૂજા	1800
પૃથ્વી	1800
પ્રભાત	1800
પ્રાર્થના	1800
ફાગણ	1800
ફાફડા	1800
ફેબ્રુઆરી	1800
બસુંદી	1800
બહીન	1800
બાપુજી	1800
બિજલી	1800
બીજ	1800
બુદ્ધિ	1800
બુધવાર	1800
બેઈમાન	1800
બેઠક	1800
બેસવું	1800
બેસો	1800
બૈંગણી	1800
બોલાવ	1800
ભાદરવો	1800
ભાવનગર	1800
ભૂરો	1800
મંગળવાર	1800
મંતન	1800
મરીએ	1800
મળાઈ	1800
મહિનો	1800
માગસર	1800
માતા	1800
માનવ	1800
માફ કરજો	1800
મામાજી	1800
માર્ગ	1800
માર્ચ	1800
માસી	1800
મિટ્ટી	1800
મિઠાઈ	1800
મિનિટ	1800
મીઠું	1800
મુઝે	1800
મૈત્ર	1800
મોકળવું	1800
મોબાઈલ	1800
મૌસી	1800
યોજના	1800
રડો	1800
રવિવાર	1800
રહેવું	1800
રાજકોટ	1800
રાત્રિ	1800
રૂપિયા	1800
રેલગાડી	1800
રોટલી	1800
લખવું	1800
લખો	1800
લાંબી	1800
લાંબું	1800
લાંબો	1800
લાપસી	1800
લાયક	1800
લાવવું	1800
વડોદરા	1800
વધારો	1800
વિચાર	1800
વિદ્યા	1800
વિમાન	1800
વિશ્વવિદ્યાલય	1800
વૃક્ષ	1800
વૈશાખ	1800
વ્યક્તિ	1800
વ્યાપાર	1800
શક્તિ	1800
શત્રુ	1800
શનિવાર	1800
શહેર	1800
શાંતિ	1800
શિક્ષક	1800
શિક્ષણ	1800
શિક્ષિત	1800
શું	1800
શુક્રવાર	1800
શુભ પ્રભાત	1800
શુભ રાત્રિ	1800
શુભકામના	1800
શૌર્ય	1800
શ્રાવણ	1800
શ્રીખંડ	1800
સંગણક	1800
સન્માન	1800
સપ્ટેમ્બર	1800
સપ્તાહ	1800
સફેદ	1800
સભા	1800
સમસ્યા	1800
સમાચાર	1800
સમિતિ	1800
સમુદ્ર	1800
સવાર	1800
સાંજકાળ	1800
સાંભળવું	1800
સાંભળી	1800
સાઈકલ	1800
સારી	1800
સાહિત્ય	1800
સીધી	1800
સીધું	1800
સીધો	1800
સુરતી-જામનગર	1800
સૂરજ	1800
સેવા	1800
સોફ્ટવેર	1800
સોમવાર	1800
સૌચાલય	1800
સ્વાતંત્ર્ય	1800
સ્વાસ્થ્ય	1800
હફ્તો	1800
હમેશા	1800
હરિયાળ	1800
હસવું	1800
હસો	1800
હાર્ડવેર	1800
હાર્દિક અભિનંદન	1800
હિંદુસ્તાન	1800
હિંમત	1800
હું મજામાં	1800
હૃદય	1800
ન	1788
પુત્ર	1764
પોતાના	1763
રાજ્ય	1735
પ્રાપ્ય	1710
તમારા	1707
કર્યો	1704
સવલતો	1702
માંટે	1696
ઘઉં	1689
લોકોનો	1675
લોકોને	1657
સગવડો	1637
જ્યારે	1605
અંક	1600
અંકન	1600
અંકલ	1600
અંકાઈ	1600
અંકુરો	1600
અંકુશ	1600
