# Extra Gujarati-roman → emoji (tab-separated: code\temoji[\tweight])
# Merged by scripts/build_emoji_keywords.py with curated dict + emojilib + CLDR en.
khushi	😊	980
wah	🤩	990
wah	🥳	970
wah	😮	940
dukhi	😢	980
rodo	😭	960
pyar	❤️	970
pranam	🙏	960
bhukh	🍽️	940
pani	💧	940
chai	🍵	960
chha	🍵	920
roti	🫓	930
bhai	👬	920
bahen	👭	900
maa	👩	950
bapu	👨	950
ghar	🏠	960
kaam	💼	920
paisa	💰	940
sundar	😍	930
sara	👍	900
bura	👎	900
thik	👌	920
kemcho	👋	940
shubh	✨	930
diwali	🪔	980
holi	🎨	960
navratri	💃	950
ganesh	🐘	940
krishna	🦚	930
ram	🏹	900
om	🕉️	970
mandir	🛕	960
masjid	🕌	940
church	⛪	920
doctor	👨‍⚕️	930
davakhana	🏥	920
bukhar	🤒	940
thandu	🥶	910
garam	🥵	910
barish	🌧️	950
surya	☀️	960
chand	🌙	960
tara	⭐	950
phool	🌸	950
kitab	📚	940
kalam	✏️	920
laptop	💻	930
phone	📱	960
mobile	📱	950
whatsapp	💬	900
email	📧	900
cricket	🏏	950
football	⚽	940
filam	🎬	920
gaana	🎵	950
nacho	💃	940
nritya	💃	930
yoga	🧘	940
puja	🙏	950
aarti	🪔	940
prasad	🍬	920
ladoo	🍬	930
jalebi	🥨	900
dhokla	🍲	920
thepla	🫓	910
fafda	🥨	900
undhiyu	🍲	900
aam	🥭	950
keri	🥭	940
safarjan	🍎	900
bhaat	🍚	920
daal	🥣	910
shak	🥗	900
lassi	🥛	930
chaas	🥛	920
doodh	🥛	940
dahi	🥛	920
mithi	🍬	910
tikhi	🌶️	930
marchu	🌶️	920
adrak	🫚	880
lasan	🧄	880
gujarat	🗺️	900
ahmedabad	🏙️	880
surat	🏙️	870
india	🇮🇳	960
bharat	🇮🇳	950
dharti	🌍	930
aakash	🌌	920
samudra	🌊	930
parvat	⛰️	920
jangal	🌲	910
sher	🦁	940
hathi	🐘	950
ghoda	🐴	930
gaay	🐄	940
kutro	🐶	940
biladi	🐱	940
machhli	🐟	930
pakshi	🐦	920
mor	🦚	940
kabutar	🕊️	920
school	🏫	930
gaadi	🚗	940
train	🚆	930
plane	✈️	940
bus	🚌	920
cycle	🚲	910
vishwa	🌎	910
bag	🎒	900
matho	🥛	880
ghee	🧈	880
makhan	🧈	880
avinash	💥	850
dangar	🥚	850
